tas,"	Year", Month, Country, ISO3, ISO2
16.2771,1901,1,IND,,
18.189,1901,2,IND,,
23.3944,1901,3,IND,,
27.434,1901,4,IND,,
29.6563,1901,5,IND,,
30.0428,1901,6,IND,,
27.4777,1901,7,IND,,
26.217,1901,8,IND,,
26.3156,1901,9,IND,,
25.1825,1901,10,IND,,
20.7326,1901,11,IND,,
17.4863,1901,12,IND,,
17.7767,1902,1,IND,,
19.4134,1902,2,IND,,
24.6802,1902,3,IND,,
27.6825,1902,4,IND,,
30.0953,1902,5,IND,,
29.608,1902,6,IND,,
27.2501,1902,7,IND,,
26.9727,1902,8,IND,,
25.8685,1902,9,IND,,
24.3563,1902,10,IND,,
20.1407,1902,11,IND,,
17.0481,1902,12,IND,,
16.9606,1903,1,IND,,
18.3702,1903,2,IND,,
22.5214,1903,3,IND,,
27.0121,1903,4,IND,,
29.4572,1903,5,IND,,
29.9202,1903,6,IND,,
27.6734,1903,7,IND,,
26.255,1903,8,IND,,
26.1736,1903,9,IND,,
24.2155,1903,10,IND,,
19.574,1903,11,IND,,
16.5952,1903,12,IND,,
16.7357,1904,1,IND,,
18.9173,1904,2,IND,,
23.0084,1904,3,IND,,
27.9881,1904,4,IND,,
29.3217,1904,5,IND,,
28.7641,1904,6,IND,,
26.5075,1904,7,IND,,
26.187,1904,8,IND,,
25.953,1904,9,IND,,
24.427,1904,10,IND,,
19.9128,1904,11,IND,,
17.244,1904,12,IND,,
15.8606,1905,1,IND,,
16.8244,1905,2,IND,,
21.5156,1905,3,IND,,
25.5401,1905,4,IND,,
29.9189,1905,5,IND,,
30.2554,1905,6,IND,,
27.2491,1905,7,IND,,
26.5998,1905,8,IND,,
26.178,1905,9,IND,,
24.6808,1905,10,IND,,
21.0833,1905,11,IND,,
17.0855,1905,12,IND,,
16.4007,1906,1,IND,,
18.1218,1906,2,IND,,
22.1459,1906,3,IND,,
27.6601,1906,4,IND,,
30.8243,1906,5,IND,,
28.873,1906,6,IND,,
27.094,1906,7,IND,,
26.1986,1906,8,IND,,
25.8253,1906,9,IND,,
